#,Company,Symbol,Portfolio%,Price,Chg,% Chg
256,Ingersoll Rand Inc.,IR,0.0008,75.82,0.51,-0.68%
257,Vulcan Materials Company,VMC,0.0008,205.00,-19.80,(-8.79%)
258,"Equifax, Incorporated",EFX,0.0007,237.50,-9.19,(-3.72%)
259,Cdw Corporation,CDW,0.0007,156.57,-63.90,(-28.98%)
260,The Kroger Co.,KR,0.0007,44.06,0.47,-1.07%
261,"Monolithic Power Systems, Inc.",MPWR,0.0007,640.55,3.16,-0.49%
262,Fair Isaac Corporation,FICO,0.0007,"1,125.00",-4.59,(-0.41%)
263,Arch Capital Group Ltd,ACGL,0.0007,73.87,-0.81,(-1.08%)
264,Ge Healthcare Technologies Inc.,GEHC,0.0007,72.50,-3.42,(-4.50%)
265,Dollar General Corp.,DG,0.0007,130.00,-1.02,(-0.78%)
266,Royal Caribbean Group,RCL,0.0007,123.00,1.61,-1.32%
267,The Hershey Company,HSY,0.0007,181.48,-4.74,(-2.54%)
268,Devon Energy Corporation,DVN,0.0007,44.76,-0.23,(-0.51%)
269,"Cardinal Health, Inc.",CAH,0.0007,98.86,-3.83,(-3.73%)
270,"Wec Energy Group, Inc.",WEC,0.0007,84.23,-0.39,(-0.46%)
271,Dollar Tree Inc.,DLTR,0.0007,129.76,-0.08,(-0.06%)
272,"Keysight Technologies, Inc.",KEYS,0.0007,142.58,-16.10,(-10.17%)
273,Edison International,EIX,0.0007,69.96,-0.36,(-0.51%)
274,Sba Communications Corp,SBAC,0.0007,247.07,-3.76,(-1.50%)
275,"Diamondback Energy, Inc.",FANG,0.0007,151.34,-2.10,(-1.37%)
276,"Cbre Group, Inc.",CBRE,0.0007,93.87,2.80,-3.07%
277,"West Pharmaceutical Services, Inc.",WST,0.0007,359.15,1.14,-0.32%
278,"Delta Air Lines, Inc.",DAL,0.0007,42.39,-0.06,(-0.13%)
279,Discover Financial Services,DFS,0.0007,106.16,-1.56,(-1.45%)
280,"Warner Bros. Discovery, Inc. Series a",WBD,0.0007,12.61,0.12,-0.95%
281,"American Water Works Company, Inc",AWK,0.0007,132.69,-1.80,(-1.34%)
282,Hp Inc.,HPQ,0.0007,29.58,-1.35,(-4.36%)
283,Xylem Inc,XYL,0.0007,109.91,-1.02,(-0.92%)
284,"Moderna, Inc.",MRNA,0.0007,85.86,-0.02,(-0.02%)
285,Willis Towers Watson Public Limited Companys,WTW,0.0007,238.30,0.37,-0.16%
286,Ansys Inc,ANSS,0.0007,213.00,-81.90,(-27.77%)
287,"Avalonbay Communities, Inc.",AVB,0.0007,186.73,-4.72,(-2.46%)
288,Take-Two Interactive Software Inc,TTWO,0.0007,160.76,-3.13,(-1.91%)
289,Mettler-Toledo International,MTD,0.0006,"1,500.00",275.30,-22.48%
290,Resmed Inc.,RMD,0.0006,168.33,-4.31,(-2.50%)
291,Fortive Corporation,FTV,0.0006,72.50,-0.57,(-0.78%)
292,"The Hartford Financial Services Group, Inc.",HIG,0.0006,81.76,1.43,-1.77%
293,"Zimmer Biomet Holdings, Inc.",ZBH,0.0006,118.79,0.26,-0.22%
294,"Ulta Beauty, Inc.",ULTA,0.0006,491.60,-3.03,(-0.61%)
295,State Street Corporation,STT,0.0006,78.29,-0.26,(-0.33%)
296,Tractor Supply Co,TSCO,0.0006,219.63,-4.47,(-2.00%)
297,Lyondellbasell Industries N.v. Class A,LYB,0.0006,95.65,1.05,-1.11%
298,Weyerhaeuser Company,WY,0.0006,33.77,-0.18,(-0.52%)
299,Dte Energy Company,DTE,0.0006,109.72,-2.72,(-2.41%)
300,"Church & Dwight Co., Inc.",CHD,0.0006,91.51,0.15,-0.16%
301,Aptiv Plc,APTV,0.0006,87.85,-1.00,(-1.12%)
302,M&t Bank Corp.,MTB,0.0006,138.25,-6.81,(-4.69%)
303,T Rowe Price Group Inc,TROW,0.0006,106.18,-1.14,(-1.06%)
304,Broadridge Financial Solutions Inc,BR,0.0006,211.93,18.29,-9.44%
305,Corning Incorporated,GLW,0.0006,30.30,-0.27,(-0.88%)
306,Ebay Inc,EBAY,0.0006,41.93,-0.73,(-1.70%)
307,Entergy Corporation,ETR,0.0006,101.63,-1.64,(-1.59%)
308,"Molina Healthcare, Inc.",MOH,0.0006,297.01,-77.80,(-20.76%)
309,Fifth Third Bancorp,FITB,0.0006,34.86,-0.28,(-0.80%)
310,Eversource Energy,ES,0.0006,59.81,-3.72,(-5.86%)
311,"Nvr, Inc.",NVR,0.0006,"6,587.50",-347.00,(-5.00%)
312,Wabtec Inc.,WAB,0.0006,104.83,-17.00,(-13.93%)
313,"Pultegroup, Inc.",PHM,0.0005,103.52,-1.36,(-1.30%)
314,Hewlett Packard Enterprise Company,HPE,0.0005,16.90,-0.16,(-0.94%)
315,Howmet Aerospace Inc.,HWM,0.0005,52.80,0.02,-0.03%
316,Ameren Corporation,AEE,0.0005,71.49,-3.53,(-4.71%)
317,Equity Residential,EQR,0.0005,62.09,-0.22,(-0.35%)
318,Dover Corporation,DOV,0.0005,139.74,-15.50,(-10.01%)
319,Steris Plc,STE,0.0005,230.00,19.55,-9.29%
320,"Raymond James Financial, Inc.",RJF,0.0005,110.27,-0.61,(-0.55%)
321,"Ptc, Inc",PTC,0.0005,171.10,-0.14,(-0.08%)
322,International Flavors & Fragrances Inc.,IFF,0.0005,79.13,-1.06,(-1.32%)
323,Invitation Homes Inc.,INVH,0.0005,34.31,-0.99,(-2.79%)
324,Ppl Corporation,PPL,0.0005,26.85,-0.19,(-0.70%)
325,"Expedia Group, Inc.",EXPE,0.0005,147.45,0.62,-0.42%
326,Illumina Inc,ILMN,0.0005,127.87,-3.62,(-2.75%)
327,Firstenergy Corp.,FE,0.0005,37.15,-0.72,(-1.90%)
328,Teledyne Technologies Incorporated,TDY,0.0005,426.06,-2.11,(-0.49%)
329,Verisign Inc,VRSN,0.0005,205.79,-4.70,(-2.23%)
330,Laboratory Corporation of America Holdings,LH,0.0005,224.61,1.55,-0.69%
331,"Darden Restaurants, Inc.",DRI,0.0005,161.14,-1.96,(-1.20%)
332,Iron Mountain Inc.,IRM,0.0005,68.46,0.01,-0.01%
333,"Alexandria Real Estate Equities, Inc.",ARE,0.0005,133.52,-0.94,(-0.70%)
334,"Fleetcor Technologies, Inc.",FLT,0.0005,261.29,-10.80,(-3.97%)
335,"Ventas, Inc.",VTR,0.0005,50.30,-0.23,(-0.46%)
336,Genuine Parts Company,GPC,0.0005,134.45,-5.43,(-3.88%)
337,Garmin Ltd,GRMN,0.0005,131.06,5.46,-4.34%
338,"Nasdaq, Inc.",NDAQ,0.0005,54.52,-1.59,(-2.83%)
339,"Centerpoint Energy, Inc.",CNP,0.0005,28.82,-0.88,(-2.96%)
340,Baxter International Inc.,BAX,0.0005,37.32,-1.63,(-4.18%)
341,Targa Resources Corp.,TRGP,0.0005,83.97,-2.31,(-2.68%)
342,"Netapp, Inc",NTAP,0.0005,88.72,-0.50,(-0.55%)
343,"Cboe Global Markets, Inc.",CBOE,0.0005,175.60,3.32,-1.93%
344,Coterra Energy Inc.,CTRA,0.0005,25.35,-0.22,(-0.86%)
345,Ball Corporation,BALL,0.0005,60.58,1.44,-2.43%
346,Waters Corp,WAT,0.0005,312.62,-8.72,(-2.72%)
347,Carnival Corporation,CCL,0.0005,18.62,-0.16,(-0.85%)
348,"Expeditors International of Washington, Inc.",EXPD,0.0005,127.17,3.65,-2.95%
349,Clorox Company,CLX,0.0005,143.82,1.64,-1.15%
350,Steel Dynamics Inc,STLD,0.0005,125.25,6.12,-5.14%
351,Las Vegas Sands Corp.,LVS,0.0005,48.14,-0.47,(-0.97%)
352,"Brown & Brown, Inc.",BRO,0.0005,68.70,-3.27,(-4.54%)
353,Akamai Technologies Inc,AKAM,0.0005,118.18,-0.16,(-0.13%)
354,"Walgreens Boots Alliance, Inc",WBA,0.0004,25.17,0.03,-0.10%
355,Huntington Bancshares Inc,HBAN,0.0004,12.84,-0.34,(-2.58%)
356,"The Cooper Companies, Inc.",COO,0.0004,361.08,-6.17,(-1.68%)
357,Factset Research Systems,FDS,0.0004,367.04,-87.00,(-19.15%)
358,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.0004,67.05,-1.23,(-1.81%)
359,Cms Energy Corporation,CMS,0.0004,57.89,-1.08,(-1.82%)
360,"Axon Enterprise, Inc.",AXON,0.0004,259.30,6.18,-2.44%
361,Skyworks Solutions Inc,SWKS,0.0004,111.55,-1.86,(-1.64%)
362,Hologic Inc,HOLX,0.0004,71.01,-0.09,(-0.12%)
363,"Principal Financial Group, Inc.",PFG,0.0004,81.20,1.62,-2.04%
364,Atmos Energy Corporation,ATO,0.0004,149.04,33.65,-29.16%
365,Southwest Airlines Co.,LUV,0.0004,29.05,-0.72,(-2.40%)
366,"Tyler Technologies, Inc.",TYL,0.0004,411.85,1.65,-0.40%
367,Northern Trust Corp,NTRS,0.0004,85.58,-0.35,(-0.41%)
368,Veralto Corporation,VLTO,0.0004,76.75,-2.58,(-3.25%)
369,Regions Financial Corp.,RF,0.0004,19.75,0.15,-0.77%
370,Hubbell Incorporated,HUBB,0.0004,325.67,-1.12,(-0.34%)
371,"Everest Group, Ltd.",EG,0.0004,356.59,-4.19,(-1.16%)
372,Cincinnati Financial Corp,CINF,0.0004,102.74,-2.20,(-2.10%)
373,Omnicom Group Inc.,OMC,0.0004,80.51,-5.93,(-6.86%)
374,Align Technology Inc,ALGN,0.0004,254.95,-2.07,(-0.81%)
375,Seagate Technology Holdings Plcs,STX,0.0004,84.38,-0.96,(-1.12%)
376,Albemarle Corporation,ALB,0.0004,148.18,2.29,-1.57%
377,Jacobs Solutions Inc.,J,0.0004,129.43,0.53,-0.41%
378,Western Digital Corp.,WDC,0.0004,50.26,-0.90,(-1.75%)
379,Jb Hunt Transport Services Inc,JBHT,0.0004,155.00,-46.70,(-23.16%)
380,"Epam Systems, Inc.",EPAM,0.0004,291.24,-0.22,(-0.08%)
381,Avery Dennison Corp.,AVY,0.0004,197.67,-1.28,(-0.65%)
382,Bunge Limited,BG,0.0004,106.90,0.92,-0.87%
383,Quest Diagnostics Inc.,DGX,0.0004,135.02,-2.24,(-1.63%)
384,Idex Corporation,IEX,0.0004,211.24,-3.69,(-1.72%)
385,"First Solar, Inc.",FSLR,0.0004,169.33,11.08,-7.00%
386,"Textron, Inc.",TXT,0.0004,79.27,-0.36,(-0.45%)
387,"Mid-America Apartment Communities, Inc.",MAA,0.0004,134.54,-3.91,(-2.83%)
388,Synchrony Financial,SYF,0.0004,37.25,-0.49,(-1.30%)
389,"Essex Property Trust, Inc",ESS,0.0004,201.58,-46.90,(-18.88%)
390,"Lamb Weston Holdings, Inc.",LW,0.0004,104.32,-0.06,(-0.05%)
391,"Teradyne, Inc.",TER,0.0004,101.01,-4.39,(-4.16%)
392,Snap-on Incorporated,SNA,0.0004,343.22,54.02,-18.68%
393,"Tyson Foods, Inc.",TSN,0.0004,52.53,0.20,-0.38%
394,"Leidos Holdings, Inc.",LDOS,0.0004,110.58,1.89,-1.73%
395,Packaging Corp of America,PKG,0.0004,165.68,-1.67,(-1.00%)
396,Masco Corporation,MAS,0.0004,68.43,-0.90,(-1.29%)
397,"Citizens Financial Group, Inc.",CFG,0.0004,33.63,0.00,0.00%
398,"Stanley Black & Decker, Inc.",SWK,0.0004,102.34,0.85,-0.84%
399,W.R. Berkley Corporation,WRB,0.0004,70.60,-0.57,(-0.80%)
400,"Cf Industries Holding, Inc.",CF,0.0004,77.04,0.16,-0.21%
401,"Enphase Energy, Inc.",ENPH,0.0004,124.42,4.20,-3.49%
402,Kellanova,K,0.0004,53.83,-1.00,(-1.83%)
403,Marathon Oil Corporation,MRO,0.0004,24.40,-0.04,(-0.15%)
404,"Conagra Brands, Inc.",CAG,0.0004,29.72,-0.21,(-0.69%)
405,Celanese Corporation,CE,0.0004,143.35,-8.52,(-5.61%)
406,Amcor Plcs,AMCR,0.0004,9.70,-0.01,(-0.11%)
407,Insulet Corporation,PODD,0.0004,211.66,4.85,-2.35%
408,Pool Corporation,POOL,0.0004,386.29,-10.00,(-2.53%)
409,Domino's Pizza Inc.,DPZ,0.0004,399.46,-3.39,(-0.84%)
410,"Best Buy Company, Inc.",BBY,0.0004,78.56,1.06,-1.37%
411,"United Airlines Holdings, Inc.",UAL,0.0003,43.62,0.03,-0.06%
412,Eqt Corp,EQT,0.0003,38.43,-0.40,(-1.02%)
413,Alliant Energy Corporation,LNT,0.0003,50.95,-1.24,(-2.39%)
414,"Host Hotels & Resorts, Inc.",HST,0.0003,19.41,-0.06,(-0.28%)
415,Kimco Realty Corp.,KIM,0.0003,22.31,-0.28,(-1.24%)
416,Keycorp,KEY,0.0003,14.28,-0.50,(-3.35%)
417,Loews Corporation,L,0.0003,68.81,0.12,-0.17%
418,The J.M. Smucker Company,SJM,0.0003,124.36,-1.00,(-0.80%)
419,Nordson Corp,NDSN,0.0003,251.97,1.97,-0.79%
420,Aes Corporation,AES,0.0003,19.40,-0.23,(-1.18%)
421,International Paper Co.,IP,0.0003,37.25,-0.42,(-1.11%)
422,Gen Digital Inc.,GEN,0.0003,22.95,0.00,0.00%
423,Zebra Technologies Corporation,ZBRA,0.0003,241.10,-31.10,(-11.41%)
424,Live Nation Entertainment Inc.,LYV,0.0003,93.02,-0.05,(-0.05%)
425,Lkq Corporation,LKQ,0.0003,46.59,-0.05,(-0.11%)
426,Mgm Resorts International,MGM,0.0003,42.97,-1.69,(-3.78%)
427,"Evergy, Inc.",EVRG,0.0003,51.69,-1.68,(-3.15%)
428,Henry (Jack) & Associates,JKHY,0.0003,163.22,-3.69,(-2.21%)
429,"Revvity, Inc.",RVTY,0.0003,140.00,38.69,-38.19%
430,Trimble Inc.,TRMB,0.0003,51.53,-0.26,(-0.49%)
431,"Rollins, Inc.",ROL,0.0003,43.12,0.38,-0.89%
432,Viatris Inc.,VTRS,0.0003,10.20,-0.19,(-1.83%)
433,"The Interpublic Group of Companies, Inc.",IPG,0.0003,30.57,-2.17,(-6.63%)
434,The Mosaic Company,MOS,0.0003,36.58,-0.52,(-1.40%)
435,Incyte Genomics Inc,INCY,0.0003,63.05,-0.80,(-1.25%)
436,Molson Coors Beverage Company Class B,TAP,0.0003,62.61,-0.44,(-0.70%)
437,Bio-Techne Corp.,TECH,0.0003,74.42,-0.62,(-0.83%)
438,Teleflex Incorporated,TFX,0.0003,254.43,-1.78,(-0.70%)
439,"Udr, Inc.",UDR,0.0003,37.63,-0.73,(-1.89%)
440,Pentair Plc,PNR,0.0003,70.89,-1.43,(-1.98%)
441,Carmax Inc.,KMX,0.0003,75.92,0.92,-1.23%
442,"Nrg Energy, Inc.",NRG,0.0003,49.28,1.07,-2.22%
443,"Charles River Laboratories International, Inc.",CRL,0.0003,231.09,1.83,-0.80%
444,Regency Centers Corporation,REG,0.0003,67.35,-0.51,(-0.74%)
445,Nisource Inc.,NI,0.0003,26.63,-0.05,(-0.19%)
446,Globe Life Inc.,GL,0.0003,121.79,-0.86,(-0.70%)
447,Apa Corporation,APA,0.0003,35.39,-0.35,(-0.98%)
448,Ceridian Hcm Holding,CDAY,0.0003,69.03,-0.39,(-0.56%)
449,"Qorvo, Inc.",QRVO,0.0003,107.25,-5.30,(-4.71%)
450,Westrock Company,WRK,0.0003,43.63,0.48,-1.11%
451,"Healthpeak Properties, Inc.",PEAK,0.0003,19.47,-0.65,(-3.23%)
452,Camden Property Trust,CPT,0.0003,98.94,-2.67,(-2.63%)
453,"Etsy, Inc.",ETSY,0.0003,80.84,-2.43,(-2.91%)
454,Eastman Chemical Company,EMN,0.0003,88.55,-1.13,(-1.26%)
455,"F5, Inc.",FFIV,0.0003,176.35,-0.58,(-0.33%)
456,Brown-Forman Corporation Class B,BF.B,0.0003,55.30,-3.12,(-5.34%)
457,"Huntington Ingalls Industries, Inc.",HII,0.0003,249.28,-6.55,(-2.56%)
458,Marketaxess Holdings Inc.,MKTX,0.0003,286.66,2.50,-0.88%
459,"Caesars Entertainment, Inc.",CZR,0.0003,47.24,-1.40,(-2.87%)
460,A.O. Smith Corporation,AOS,0.0003,81.04,0.45,-0.55%
461,"C.H. Robinson Worldwide, Inc.",CHRW,0.0002,91.51,6.47,-7.60%
462,Allegion Public Limited Company,ALLE,0.0002,116.33,-2.25,(-1.90%)
463,Henry Schein Inc,HSIC,0.0002,74.54,-0.72,(-0.95%)
464,"Paycom Software, Inc.",PAYC,0.0002,201.61,-2.10,(-1.03%)
465,"Boston Properties, Inc.",BXP,0.0002,71.48,-1.50,(-2.06%)
466,Hormel Foods Corporation,HRL,0.0002,30.78,-1.14,(-3.57%)
467,Juniper Networks Inc,JNPR,0.0002,27.91,-1.68,(-5.68%)
468,"Match Group, Inc",MTCH,0.0002,34.57,0.04,-0.12%
469,"Universal Health Services, Inc. Class B",UHS,0.0002,152.30,0.83,-0.54%
470,American Airlines Group Inc.,AAL,0.0002,14.49,-0.11,(-0.72%)
471,"Bath & Body Works, Inc.",BBWI,0.0002,41.30,-0.41,(-0.98%)
472,Robert Half Inc.,RHI,0.0002,66.14,-20.50,(-23.64%)
473,"Assurant, Inc.",AIZ,0.0002,174.95,10.65,-6.48%
474,Campbell Soup Company,CPB,0.0002,43.94,-0.47,(-1.06%)
475,Pinnacle West Capital Corporation,PNW,0.0002,71.70,-3.02,(-4.04%)
476,News Corporation Class A,NWSA,0.0002,21.55,-1.75,(-7.53%)
477,Wynn Resorts Ltd,WYNN,0.0002,88.93,-0.87,(-0.97%)
478,"Tapestry, Inc.",TPR,0.0002,34.66,-1.85,(-5.07%)
479,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.0002,20.39,0.04,-0.17%
480,"Franklin Resources, Inc.",BEN,0.0002,29.26,-0.12,(-0.39%)
481,Borgwarner Inc.,BWA,0.0002,34.95,-0.88,(-2.46%)
482,Generac Holdings Inc,GNRC,0.0002,129.91,0.85,-0.65%
483,Federal Realty Investment Trust,FRT,0.0002,105.08,-1.97,(-1.84%)
484,Paramount Global Class B,PARA,0.0002,16.30,-0.41,(-2.45%)
485,Fox Corporation Class A,FOXA,0.0002,30.80,0.73,-2.43%
486,Invesco Ltd,IVZ,0.0002,17.72,0.14,-0.77%
487,Fmc Corporation,FMC,0.0002,59.05,-1.18,(-1.96%)
488,"Catalent, Inc.",CTLT,0.0002,39.52,-1.84,(-4.45%)
489,Dentsply Sirona Inc.,XRAY,0.0002,31.00,-3.35,(-9.75%)
490,Comerica Incorporated,CMA,0.0002,55.66,-1.15,(-2.02%)
491,"Bio-Rad Laboratories, Inc.Class A",BIO,0.0002,314.07,2.08,-0.67%
492,"Hasbro, Inc.",HAS,0.0002,50.21,-1.09,(-2.12%)
493,Whirlpool Corp.,WHR,0.0002,119.10,-3.52,(-2.87%)
494,V.F. Corporation,VFC,0.0002,19.90,-0.49,(-2.40%)
495,Zions Bancorporation N.a.,ZION,0.0002,43.87,-1.80,(-3.93%)
496,Davita Inc.,DVA,0.0001,105.18,-2.00,(-1.87%)
497,Ralph Lauren Corporation,RL,0.0001,139.30,-2.55,(-1.80%)
498,Sealed Air Corp.,SEE,0.0001,32.85,-3.40,(-9.37%)
499,"Mohawk Industries, Inc.",MHK,0.0001,105.71,-0.04,(-0.04%)
500,"Alaska Air Group, Inc.",ALK,0.0001,39.15,-0.02,(-0.04%)
501,"Solaredge Technologies, Inc.",SEDG,0.0001,97.43,1.11,-1.15%
502,Fox Corporation Class B,FOX,0.0001,22.60,-5.40,(-19.29%)
503,News Corporation Class B,NWS,0.0001,24.55,0.13,-0.52%